SITEID,Name,Description,AWRC,StateID
DLBU2WP,Darling from Burtundy to u/s Weir Pool,,,2.0
DLFSTP,Daylesford STP,,,4.0
DLWPOOL,Ww Weir Pool,Ww Weir Pool - Private Diverters,,
DOCTORS,River Murray at Doctors Point,,409017,4.0
DORADOR,River Murray @ Dora Dora,,401004,2.0
DPCK183,DEEP CK AT PEPPERTREE RD AT HR 183/C DWR,,,2.0
DPCK184,DEEP CK AT PEPPERTREE RD HR 184/A (DWR),,,2.0
DPCKWLR,DEEP CK AT WOOLSHED RD (DWR),,,2.0
DRYCOLS,Dry Creek down stream of Coldwalls road,Dry Creek down stream of Coldwalls road - LBDS,,
DRYCOLU,DRY CREEK U/S COLDWELLS ROAD (DWR),,,2.0
DRYENNR,DRY CREEK AT ENNALS ROAD (DWR),,,2.0
DRYESC1,DRY CREEK ESCAPE TO TOCUMWAL CHNNL (DWR),,,2.0
DRYESC2,DRY CREEK ESCAPE TO TOCUMWAL CHNNL (DWR),,,2.0
DRYSB33,DRY CK AT STH BOUNDARY HR 33/B (DWR),,,2.0
DRYVICK,DRY CK AT VICKERS RD O/F TO DEEP CK (DWR,,,2.0
DRYWAMB,DRY CREEK AT WAMBOIN RD (DWR),,,2.0
DRYWB33,DRY CK AT WST BOUNDARY HR 33/B (DWR),,,2.0
DSBUFFA,Downstream lake Buffalo,Downstream lake Buffalo,403220,4.0
405203,Goulburn River Downstream Eildon,,405203,4.0
DSEILDN,Goulburn River Downstream Eildon,,405203,4.0
DSMORGN,River Murray downstream Morgan (AMTD 316.5km),,A4261110,5.0
DSWILHO,Downstream of William Hovell,Downstream of William Hovell,403228B,4.0
8GFDUBB,Macquarie River at Dubbo,,421001,2.0
DUBBO,Macquarie River at Dubbo,,421001,2.0
DUBSTP,Dubbo STP,,,2.0
DUNSTP,Dunedoo STP,,,2.0
DWYERDS,Dwyers Regulator D/S,Millewa monitoring site,,
DWYERS,Dwyers River Regulator,River Regulator settings - Edward River - NSW National Parks,,2.0
EASTCHN,Eastern Channel,,,4.0
EC1ALEX,,,,
EC2ALEX,,,,
EC3ALEX,,,,
EC4ALEX,,,,
EC5ALEX,,,,
ECHCAMP,Campaspe River at Echuca,,406265,4.0
ECHUCA,River Murray at Echuca,,409200A,4.0
ECHUMET,ECHUCA COMPUTER SERVICE MET STATION,,80015,4.0
EDGULP,EDWARD R. + GULPA CK. - OFFTAKES,,,2.0
EDLFD,Edols lans floodway,,,2.0
EDWARD,Edward/Wakool River,,,4.0
EDWESC,Escape From Mulwala Canal Into Edward R.,,409029,4.0
EDWOFF,Edward River D/S Offtake Regulator,,409008,4.0
EDWREG,Edward Regulator,River Regulator settings - Edward River - NSW National Parks,,
EDWRGDS,Edward Regulator D/S,Millewa monitoring site,,
EDWSILO,Edward Ck SILO data,Data Drill for Edward Creek,,4.0
EG2CESC,East Goulburn No 2 Channel,,,4.0
EGBN1C,East Goulburn No.1 Channel,,404,4.0
EGBN22C,East Goulburn No. 22/12 Channel,,404,4.0
EGBN3C,East Goulburn No.3B Channel,,404,4.0
EGBN4C,East Goulburn No.4 Channel,,404,4.0
EGBN6C,East Goulburn No.6 Channel,,404,4.0
EGBN7C,East Goulburn No.7 Channel,,404,4.0
EGBN82C,East Goulburn No.8/2 Channel,,404,4.0
EGBN8C,East Goulburn No.8 Channel,,404,4.0
EGCESC,East Goulburn No 1/22/12 Channel,,,4.0
EGOULMN,EAST GOULBURN MAIN DIVERSION,FROM GOULBURN WEIR,,4.0
EILDNDS,GOULBURN RIVER D/S EILDON,,,4.0
EILDON,EILDON RESERVOIR,,,4.0
ELDSTP,Eildon STP,,,4.0
ELERSIE,DARLING RIVER AT ELLERSLIE,,42510049,
ELIZGR,LAKE ELIZABETH STH DR,"LAKE ELIZABETH Sth Dr, Gitsham Rd",407754,4.0
ELIZNC,LAKE ELIZABETH NTH DR,"LAKE ELIZABETH Nth Dr, Carmichael Rd",407753,4.0
ELMORE,Campaspe River at Elmore,,406205,4.0
ELNINO,El Nino - Southern Oscillation Indices,,,
EMLR,Eastern Mount Lofty Ranges,"Combination of Bremer, Angas, Finniss, Tookayerta and Currency Creek",,
EPACOWI,EPA Pump Logging \150 Cowirra,,A4261121,5.0
EPAJERV,EPA Pump Logging \150 Jervois,,A4261112,5.0
EPALONG,EPA Pump Logging - Long Flat,,A4261119,5.0
EPAMONT,EPA Pump Logging \150 Monteith,,A4261114,5.0
EPANEET,EPA Pump Logging \150 Neeta,,A4261118,5.0
EPAPOMP,EPA Pump Logging \150 Pompoota,,A4261116,5.0
EPARIVG,EPA Pump Logging - River Glen,,A4261115,5.0
EPAWALL,EPA Pump Logging - Wall Flat,,A4261117,5.0
EPAWELL,EPA Pump Logging \150 Wellington,,A4261111,5.0
EPAWOOD,EPA Pump Logging - Wood Point,,A4261113,5.0
406207,Campaspe River at Eppalock,,406207,4.0
EPPALOC,Campaspe River at Eppalock,,406207,4.0
ERCESC,Edward River Escape,,,2.0
ERNBANK,Mitta Mitta River at Ernbank,Mitta Mitta R & Upper Thermal Analysis Site,40110065,4.0
ESCMDBC,MDBC COMPONENT OF EDWARD ESCAPE FLOW,,,
ESCMIL,MURRAY IRRIGATION ESCAPES,"Total of Edward,Yallakool, Wakool �and �Pericoota escapes.",,
ESCWAK,WAKOOL COMPONENT OF EDWARD ESCAPE FLOW,,,4.0
ESKDALE,LITTLE SNOWY CREEK AR ESKDALE BRIDGE,,401225,4.0
ESKDALM,Mitta Mitta River at Eskdale Bridge,,401223,4.0
EUC2GEE,Eucumbene reservoir to Geehi Reservoir,Eucumbene reservoir to Geehi Reservoir,,2.0
EUCMUR,Murray Component of Storage in Eucumbene,Accounts kept by SMHEA,,2.0
EUCUMBE,LAKE EUCUMBENE,,,2.0
EULOMET,Eulo (Post Office),,44032,
EUROBIN,Ovens River at Eurobin,,403250A,4.0
EURSTP,Euroa STP,,,4.0
EUS2MIL,Euston to Mildura Reach,,,
EUSTDS,River Murray D/S Euston Weir,,414203,4.0
EUSTON,River Murray U/S Euston Weir,,414209,4.0
EUSTUS,River Murray U/S Euston Weir,,414209,4.0
EWDFFCL,Env water Flora Fauna -Cardross Lakes,Environmental Water Deliveries from Flora & Fauna Ent,,4.0
EWEI,Lake Alexandrina U/S Ewe Island and Barrages,Ewe Island Dual Vertical Slot fishway,,5.0
EWEIDS,Coorong at Ewe Island Barrage,Coorong at Ewe Island Barrage,A4261046,5.0
EWSEPD,East Wentworth Sewerage Ponds,,,2.0
EWSMLM,Env water from Snowy RMIF to LM Red Gum,Environmental Water Deliveries from Snowy RMIF Account,,4.0
FCKRSTP,Falls Ck Resort STP,,,4.0
FENTON,Moonie River at Fenton,Moonie River at Fenton - Queensland,417204,1.0
FERRITS,MORTON-BOULKA CREEK AT FERRITS GAUGE,MORTON-BOULKA CREEK AT FERRITS GAUGE,4525041,2.0
FIFTEEN,15 Mile Creek,15 Mile Creek,,4.0
FINBRAE,Finniss River at Braeside Road,,A4261076,5.0
FINFORD,Finniss River at Ford Road,Finniss River at Ford Road,A4261075,5.0
FINLCOR,Finley Escape Downstream Coree 11,Finley Escape Downstream Coree 11,409087,4.0
FINLESC,Finley Escape at outfall,Finley Escape at the outfall,409077,4.0
FINNINL,Finniss River Inlet near Finniss,,A4261050,5.0
FINNISS,Lake Alexandrina @ Finniss River,,,5.0
FINYUND,Finniss River 4km E Yundi,,4260504,
FIRSTST,Sunraysia - North East Drain at First St,Sunraysia Plain - �North East Drain at First Street,414710,4.0
FISHMAN,Fishermans River Regulator,River Regulator settings - Murray River - Barmah forest - NSW National Parks,,2.0
FISHMDS,Fishermans D/S,Millewa monitoring site,,
FISHPDS,LITTLE MURRAY D/S FISHPOINT WEIR,,,4.0
FISHPTB,LITTLE MURRAY - FISHPOINT BRIDGE,,,4.0
FISHPUS,LITTLE MURRAY U/S FISHPOINT WEIR,,,4.0
FMITBRB,FMIT NORTH EAST @ BRUCES BEND,FMIT NORTH EAST @ BRUCES BEND,414702,4.0
FMITNED,FMIT North East Drain,,,4.0
FMITNTH,FMIT North Drain,FMIT Drain @ Ettiwanda Avenue,414709,
FMITPBL,FMIT DRAIN @ U/S PSYCHE BEND LAGOON,FMIT DRAIN @ U/S PSYCHE BEND LAGOON,414711,4.0
FMITPUM,F.M.I.T. IRRIGATION PUMPS _ FROM MURRAY,,,4.0
FOAPMET,Forbes Apt,,65103,2.0
10GIR04,Lachlan River - Forbes (Cottons Weir),,412004,2.0
FORBES,Lachlan River - Forbes (Cottons Weir),,412004,2.0
FORBMET,Forbes (Camp Street),,65016,2.0
423001_,WARREGO RIVER AT FORDS BRIDGE (MN CHANN),,423001,2.0
FORDSBR,WARREGO RIVER AT FORDS BRIDGE (MN CHANN),,423001,2.0
FORDSBY,WARREGO RIVER - FORDS BRIDGE (BYWASH),,423002,2.0
FOREST,Barmah-Millewa Regulator Openings,PERCENTAGE OF REGULATORS THAT ARE OPEN,,4.0
FORHSTP,Forest Hill STP (Wagga Wagga),,,2.0
FORSTP,Forbes STP,,,2.0
FRANKBR,LITTLE MERRAN CREEK AT FRANKLINGS BRIDGE,,409044,4.0
FYANSLK,Lake Fyans - Wimmera Mallee,,,4.0
GBCFLOW,Goulburn/Broken Creek/Campaspe Outflows,,,4.0
GEE2JIN,Geehi Reservoir to Jindabyne Reservoir,Geehi Reservoir to Jindabyne Reservoir used to calculate net,,2.0
GEEHAQD,Geehi Aquaduct Losses,A component of Snowy Accounted release,,2.0
GEEHI,Geehi River Above Geehi Reservoir,"For Measurand 87 - This site is ""Geehi Natural Inflows"".",401560,2.0
GEEHNAT,Geehi Natural,Natural conditions inflows to Geehi Dam,,
GEEHREL,Geehi Reservoir regulated release,,,2.0
GEEHSPI,Geehi Reservoir Spill,,,2.0
GEEHSTO,Geehi Reservoir,,,2.0
9GSGEER,Barwon River @ Geera (d/s Macquarie Junction),,422027,2.0
GEERA,Barwon River @ Geera (d/s Macquarie Junction),,422027,2.0
GENOE,GENOE,Lake Genoe in the Poon Boon system,,2.0
GENRMIF,General RMIF Account,States resources held in Snowy Scheme under the 2013 Strategy for RMIF,,
GIBBOPK,Gibbo River at Gibbo Park,,401217A,4.0
GILBOOL,Gil Gil Creek at Boolataroo,Gil Gil Creek @ Boolataroo,418054,2.0
GILESFR,Giles Creek downstream Signal Flat Road,Giles Creek downstream Signal Flat Road,A4261103,5.0
GINGHAM,,,,
GINGIN,MACQUARIE RIVER - GINGIN,,421031,2.0
GLENLYO,Glenlyon Dam,Border Rivers Commission,,1.0
GLENLYQ,Glenlyn dam on Queensland Border Rivers,Glenlyn dam on Queensland Border Rivers,,4.0
GLENVIL,Darling River �D/S of Weir 19A,DARLING RIVER AT GLEN VILLA; 1.5 KM �DOWNSTREAM OF WEIR 19A.,425037,2.0
GLESTP,The Glen WWTP (Cooma North),,,2.0
GLEWIM,Glenelg River Catchment to Wimmera-Mallee,Glenelg River Catchment to Wimmera-Mallee,,4.0
GLINSTP,Glen Innes STP,,,2.0
GLOMON,Glossop and Monash,Glossop and Monash,,
GLOSSOP,Glossop,Glossop - Riverland Region,,
GLOWEDS,Glowrey's Regulator (Plantation) D/S,Millewa monitoring site,,
GLSDOF,Glen Lossie Sth,,,5.0
GMSDRN,Gogeldrie Main Southern Drain at River Rd (GMSRR),,,2.0
GMW,Goulburn Murray Water,,,4.0
GNCHAN6,Channel 6/1,Gunbower Forest - VIC National Parks,,
GNLTRDY,Little Reedy,Gunbower Forest - VIC National Parks,407366A,
7GOANGR,Namoi River at Goangra,,419026,2.0
GOANGRA,Namoi River at Goangra,,419026,2.0
GOBENGP,Goulburn to Bendigo by GF superpipe,Goulburn to Bendigo by superpipe,,4.0
GOBRLOD,Goulburn Broken Loddon Cap Valley,Goulburn Broken Loddon,,4.0
GOBRPD,Goulburn Broken Private Diverters,Goulburn Broken Private Diverters,,4.0
GOCOSY,Goulburn to Coliban System,Goulburn to Coliban System,,4.0
GOFFTM,Goulburn Flora Fauna from Murray,Goulburn Flora Fauna from Murray,,4.0
GOGELDS,Murrumbidgee River D/S Gogeldrie Weir,,410082,2.0
GOGELUS,Gogeldrie Weir at Storage Gauge,Gogeldrie Weir �u/s at Storage Gauge,41010922,2.0
GOLHGT,Golden Heights - Major Pumping Stattion,Major Irrigation Pumping Station in South Australia,,5.0
GOLWAB2,Goolwa Vertical Slot No 2,,,
GOMUBRC,Goulburn �to River Murray via Broken Ck,Goulburn Valley Account Transfer to River Murray,,4.0
8GONGOG,Bogan River at Gongolgon,,421023,2.0
GONGOLG,Bogan River at Gongolgon,,421023,2.0
GOOBMET,Goolwa Barrages - BOM station,,23825,5.0
GOOCHBD,Goolwa Channel at Goolwa Barrage (D/S),Goolwa Channel at Goolwa Barrage (D/S),A4261035,5.0
GOOCOT,Water transferred from Googong Dam to Cotter Sys,Water transferred from Googong Dam to Cotter System,,3.0
GOODSTP,Goondiwindi STP,,,1.0
GOOGONG,Googong Dam Extractions,Googong Dam Extractions,,3.0
GOOGWTP,Googong Water Treatment Plant,Googong Water Treatment Plant,,
GOOLBDS,Lake Alexandrina D/S Goolwa Barrages,Lake Alexandrina or Goolwa Channel & Goolwa Barrages (D/S) - Recorder Site,A4260525,5.0
GOOLMET,Goolwa Alexandrina C. Depot - BOM site,,23718,5.0
GOOLWA,L. Alexandrina at Liverpool ST P.S.,,,5.0
GOOLWAB,Lake Alexandrina U/S Goolwa Barrage,LAKE ALEXANDRINA - GOOLWA BARRAGE (U/S),A4261034,5.0
GOONIMU,GOONIMU,Lake Goonimur in the Poon Boon system,,2.0
GOONOO,Goonoo Goonoo Creek @ Timbumburi,Goonoo Goonoo Creek @ Timbumburi,419035,
GOSMBR,Goulburn Snowy Acc Trnsfer to Murray Via Broken Ck,Goulburn Snowy Account Transfer to Murray Via Broken Ck,,4.0
GOSMCR,Goulburn Snowy Acc Trnsfer to Murray Via Campaspe,Goulburn Snowy Account Transfer to Murray Via Campaspe River,,4.0
GOUDSBR,Goulburn River - D/S Broken River Jtn,Goulburn River - D/S Broken River Jtn,,4.0
GOUDSMB,Goulburn River d/s of McCoys Bridge,,,4.0
GOULBGD,Goulburn Gravity District Entitlements,Goulburn Gravity District Entitlements,,4.0
GOULBPD,Goulburn Private Regulated Diversions,Goulburn Private Regulated Diversions,,4.0
GOULBRO,Goulburn/Broken River System,,,4.0
GOULBUR,Goulburn River System,Goulburn River System,,4.0
GOULBWR,Goulburn River D/S Goulburn Weir,,,4.0
GOULCAM,Goulburn valley to Campaspe River,Goulburn Valley Account Transfer to Campaspe River,,4.0
GOULCHN,UBE - Channel - Goulburn River,Urban Bulk Entitlements - Channel - Goulburn River System,,4.0
GOULEVA,Goulburn End of Valley Account,,,4.0
GOULIVT,Goulburn Valley IVT Balance,,,4.0
GOULMET,Goulburn Weir (Nagambie),,81019,4.0
GOULNSW,Goulburn Valley Trading with NSW,Direction is from NSW to Goulburn,,4.0
GOULRIV,UBE - River - Goulburn River,Urban Bulk Entitlements - River - Goulburn River System,,
GOULTLM,Goulburn TLM release,,,4.0
GOULWUS,Goulburn R at Goulburn Weir (Head gauge),,405259,4.0
GOUSNOW,,Victorian Snowy Allocation for next year sourced from,,
GOUUSBR,Goulburn River - U/S Broken River Jtn,Goulburn River - U/S Broken River Jtn,,4.0
GOWQBRC,Goulburn WQ Reserve to Broken Crk,Goulburn Water Quality Reserve Transferred to Broken Creek,,4.0
GP1BURD,BURDETT GOVERNMENT DRAINAGE PUMP 1,,,
GP1COWI,COWIRRA GOVERNMENT DRAINAGE PUMP 1,,,
GP1JERV,JERVOIS GOVERNMENT DRAINAGE PUMP 1,,,5.0
GP1LNGF,LONG FLAT GOVERNMENT DRAINAGE PUMP 1,,,
GP1MOBI,MOBILONG GOVERNMENT DRAINAGE PUMP 1,,,
GP1MONT,MONTEITH GOVERNMENT DRAINAGE PUMP 1,,,
GP1MYPO,MYPOLONGA GOVERNMENT DRAINAGE PUMP 1,,,
GP1MYPS,MYPOLONGA SOUTH GOVT DRAINAGE PUMP 1,,,
GP1NEET,NEETA GOVERNMENT DRAINAGE PUMP 1,,,
GP1POMP,POMPOOTA GOVERNMENT DRAINAGE PUMP 1,,,
GP1WALF,WALL FLAT GOVERNMENT DRAINAGE PUMP 1,,,
GP1WDPT,WOODS POINT GOVERNMENT DRAINAGE PUMP 1,,,
GP1WELI,WELLINGTON GOVERNMENT DRAINAGE PUMP 1,,,5.0
GP2COWI,COWIRRA GOVERNMENT DRAINAGE PUMP 2,,,
GP2JERV,JERVOIS GOVERNMENT DRAINAGE PUMP 2,,,5.0
GP2MOBI,MOBILONG GOVERNMENT DRAINAGE PUMP 2,,,
GP2MONT,MONTEITH GOVERNMENT DRAINAGE PUMP 2,,,
GP2MYPO,MYPOLONGA GOVERNMENT DRAINAGE PUMP 2,,,
GP2POMP,POMPOOTA GOVERNMENT DRAINAGE PUMP 2,,,
GP2WALF,WALL FLAT GOVERNMENT DRAINAGE PUMP 2,,,
GP2WDPT,WOODS POINT GOVERNMENT DRAINAGE PUMP 2,,,
GP2WELI,WELLINGTON GOVERNMENT DRAINAGE PUMP 2,,,5.0
GRANITE,Snowy Creek - Granite Flat,,401210A,4.0
6GRAVEG,GWYDIR RIVER - GRAVESEND ROAD BRIDGE,Gwydir River @ Gravesend Road Bridge,418013,2.0
GRAVES,GWYDIR RIVER - GRAVESEND ROAD BRIDGE,Gwydir River @ Gravesend Road Bridge,418013,2.0
GRAYDRN,Deakin Main Drain (D/S Drain 3) at Gray Rd,Deakin Main Drain (D/S Drain 3) at Gray Rd,406731,4.0
GREENSW,Greens Swamp,Gunbower Forest - VIC National Parks,407363A,
GRESTP,Grenfell STP,,,2.0
GRETA,15 Mile Creek at Greta South,,403213A,4.0
GRIFMET,Griffith Airport AWS,,75041,
GRIFSTP,Griffith STP,,,2.0
GULBSTP,Gulargambone STP,,,2.0
GULCRDS,Gulpa Creek Rd Regulator D/S,Millewa monitoring site,,
GULCRRD,Gulpa Creek Road,Millewa monitoring site,,
GULFCK1,Gulf Creek No1 River Regulator,River Regulator settings - Murray River - Barmah forest - VIC National Parks,,4.0
GULFCK2,Gulf Creek No2 River Regulator,River Regulator settings - Murray River - Barmah forest - VIC National Parks,,4.0
GULPOFF,GULPA CREEK D/S OFFTAKE REGULATOR,,409030,4.0
GULSILO,Gulpa Ck SILO data,Data Drill for Gulpa Creek,,
GULSTP,Gulgong WTP,,,2.0
GUMCOW,Gum Cowal @ Bifurcation,Gum Cowal @ Bifurcation,421146,2.0
GUNBENV,Gunbower Creek Environmental Releases,Releases for environmental watering of riverine wetlands,,4.0
GUNCOXY,Gum Cowal @ Oxley,Gum Cowal @ Oxley,421152,2.0
417001_,MOONIE RIVER - GUNDABLOUIE,,417001,
GUNDABA,MOONIE RIVER - GUNDABLOUIE,,417001,
GUNDAGI,MURRUMBIDGEE RIVER - GUNDAGAI,,410004,2.0
GUNDSTP,Gundagai STP,,,2.0
GUNFORE,Gunbower forest system,added to capture environmental water for the Gunbower system,GUNFORE,4.0
GUNFOUT,Chinamans Bend - Gunbower Forest Outfall,Gunbower Forest - VIC National Parks,407336A,
8COONAG,Castlereagh River at Gungalman,,420020,2.0
GUNGLMN,Castlereagh River at Gungalman,,420020,2.0
GUNIDCK,Gunidgera Creek @ d/s Regulator,Gunidgera Creek @ d/s Regulator,419061,2.0
419001,NAMOI RIVER - GUNNEDAH,,419001,2.0
GUNNDAH,NAMOI RIVER - GUNNEDAH,,419001,2.0
GUNNING,Gunningbar Creek @ d/s Weir,Gunningbar Creek @ d/s Weir,421017,2.0
GUNNSTP,Gunnedah STP,,,2.0
GUNSTP,Gunning STP,,,2.0
GUNWEIR,Gunbower Weir U/S,Gunbower Forest - VIC National Parks,,
GUNWRDS,Gunbower Weir D/S,Gunbower Forest - VIC National Parks,,
GURRA,Gurra Gurra Lake SA,Gurra Gurra Lake SA,,5.0
GUSCES2,"Gully, South of Cadow No. 2 Escape",,,2.0
GUYSTP,Guyra STP,,,2.0
GWYDIR,Gwydir River System,,,2.0
GWYDIRV,Gwydir River Component of Gwydir System,,,2.0
6MILLWG,Gwydir River at Millewa,,418066,2.0
GWYMILL,Gwydir River at Millewa,,418066,2.0
GWYWET,Inflows - Gwydir Wetland,Inflows - Gwydir Wetland - Gwydir River System,,2.0
HABELS,Habels Bend,,4260643,5.0
HALCUKO,Halls Creek @ Ukolan,Halls Creek @ Ukolan,419029,2.0
HALLS,Murrumbidgee at Halls Creek,ACT catchment,410777,2.0
HARTDRN,Harts Lagoon Drain,,,5.0
HARTLAG,Harts Lagoon,,,5.0
HARTOUT,Harts Lagoon Outlet,,,5.0
HASHSTP,Harden Shire STP,,,2.0
HATTAH,Lake Hattah,Lake Hattah Sampled in Lake Hattah,,4.0
HATTAHL,Hattah Lakes,Hattah Lakes System,,
HATTMET,Lake Hattah Met Station,,,4.0
HAWSALT,Lake Hawthorn - d/s from outlet,Lake Hawthorn - d/s from outlet. �Site No 889 in GMW dbase,,4.0
HAWTH1,Lake Hawthorn (Site 1) - West bank,Lake Hawthorn (Site 1) - Western bank of Lake (GMW site 868),,4.0
HAWTH2,Lake Hawthorn (Site 2) - East bank,Lake Hawthorn (Site 2) - Eastern bank of Lake (GMW site 867),,4.0
HAWTH3,Lake Hawthorn (Site 3) - Southern bank,Lake Hawthorn (Site 3) - Southern bank of Lake.,,4.0
HAY,MURRUMBIDGEE RIVER - HAY,,410002,2.0
HAYDS,MURRUMBIDGEE RIVER D/S HAY WEIR,,410136,2.0
HAYUS,Murrumbidgee River at Hay Weir (u/s),Murrumbidgee River at Hay Weir (u/s) - Storage Gauge,41010928,2.0
HAYWEIR,Hay Weir on the Murrumbidgee,,,2.0
HEBEL,Bokhara R at Hebel,Bokhara R at Hebel - Queensland,422209A,1.0
HEBELBO,Ballandool R at Hebel Bollon Rd,Ballandool R at Hebel Bollon Rd - Queensland,422207A,1.0
HEBEMET,Hebel (Post Office),,44042,1.0
HEFESC,6 Heffers,,,4.0
HENSTP,Henty STP,,,2.0
HEYWOOD,River Murray at Heywoods,Sample at Gauging Station,409016,4.0
HINNOMU,Mitta Mitta River at Hinnomunjie,,401203A,4.0
HIPOFFT,Hipwell Road Offtake Regulator,Gunbower Forest - VIC National Parks,,
HIPRWDS,Hipwell Road Weir D/S,Gunbower Forest - VIC National Parks,,
HIPWEIR,Hipwell Road Weir Regulator,Gunbower Forest - VIC National Parks,,
HLBOOCR,Boolungal crossing - Hattah Lakes,Hattah Lakes System - manual data collection in the lakes,,
HLCANCK,Cantala Creek - Hattah Lakes,Hattah Lakes System - manual data collection in the lakes,,
HLCANDS,Cantala Regulator River Side - Hattah Lakes,Gauge Board Site,HLCANDS,
HLHPOLD,Lake Hattah pump (old),Hattah Lakes System - manual data collection in the lakes,,
HLMESDS,Messengers Regulator River Murray Side,Down Stream gauge site for Messengers Regulator on the river side Hattah Lakes System,HLMESDS,
HLOTYDS,Oateys Regulator River Side - Hattah Lakes,Gauge Board Site - Return to Murray,HLOTYDS,
HLRAKCR,Raak Crossing - Hattah Lakes,Hattah Lakes System - manual data collection in the lakes,,
HLRAKTK,Raak Track - Hattah Lakes,Hattah Lakes System - manual data collection in the lakes,,
HLRIMCR,Rim crossing - Hattah Lakes,Hattah Lakes System - manual data collection in the lakes,,
HLYERCH,Yerang channel - Hattah Lakes,Hattah Lakes System - manual data collection in the lakes,HLYERCH,
HOBESC,11/4 Hobson,,,4.0
HOGWASH,HOGWASH BEND,,,5.0
HOLBSTP,Holbrook STP,,,2.0
HOLDER,River Murray at Holder,River Murray at Holder - Salinity Site only.,426593,5.0
HOLMESB,Holmes Bridge,Gunbower Forest - VIC National Parks,,
HORESC,2/10 Horsburgh,,,4.0
HORSLG1,Horseshoe Lagoon No 1 River Regulator,River Regulator settings - Gulpa Creek - NSW National Parks,,2.0
HORSLG2,Horseshoe Lagoon No 2 River Regulator,River Regulator settings - Gulpa Creek - NSW National Parks,,2.0
HORSLG3,Horseshoe Lagoon No 3 River Regulator,River Regulator settings - Gulpa Creek - NSW National Parks,,2.0
HORSLG4,Horseshoe Lagoon No 4 River Regulator,River Regulator settings - Gulpa Creek - NSW National Parks,,2.0
HORSMET,Horsham Composite,,79023,4.0
HOUSE,House Creek River Regulator,River Regulator settings - Murray River - Barmah forest - NSW National Parks,,2.0
HOUSEDS,House Creek Regulator D/S,Millewa monitoring site,,
HOWLONG,River Murray Below Howlong,MURRAY DARLING FRESHWATER RESEARCH CENTRE STATION 11,409037,2.0
HRCGOFF,HIPWELL RD CHANNEL @ GUNBOWER CK OFFTAKE,Gunbower Forest - VIC National Parks,407779A,
HROFRDS,Hipwell Road offtake Regulator D/S,Gunbower Forest - VIC National Parks,,
HSDESC,13/9 Homestead,,,4.0
HSLA1DS,Horseshoe Lagoon 1 Regulator D/S,Millewa monitoring site,,
HSTITPE,Howard St Industrial TP,,,4.0
HUMDART,Hume and Dartmouth Reservoirs,,,4.0
HUMDBAR,Hume Dam to Barmah - Murray River,Hume Dam to Barmah - Murray River,,4.0
HUMDTOR,Hume Dam to Torrumbarry Weir,Hume Dam to Torrumbarry Weir,,
HUME,Hume outflow or Heywoods,Heywoods used if Hume outflow not available,,4.0
HUMEINF,Hume Dam inflows (ML/d),Hume Dam inflows (ML/d),,2.0
HUMELOC,Local Inflow to Hume Dam,Local Inflow to Hume Dam includes McCallums,,4.0
HUMEMET,Hume Reservoir Met Station,,72023,2.0
HUMENAT,Natural Inflows to Hume Dam,"Includes inflows to Hume and to Tooma, Geehi and Khancoban",,
HUMENSW,NSW Component of Hume Reservoir,Used for Extra Releases from Hume for NSW purposes,,2.0
HUMEOPA,Hume Accounts Operational Loss (ML/d),Hume Accounts Operational Loss (ML/d),,2.0
HUMEREL,Hume release excluding PreRelease (ML/d),Hume release excluding PreRelease (ML/d),,2.0
HUMEUS,Lake Hume at Dam Wall,SAMPLE AT BETHANGA BRIDGE,401027,4.0
HUMEVIC,Victorian Component of Hume Reservoir,Used for Extra Releases from Hume for VIC purposes,,
HUMJITA,Tallandoon and Jingellic routed to Hume,Tallandoon and Jingellic routed to Hume inc storage change,,4.0
HUMLVIC,Transfer from Hume to Lake Victoria,,,
HUNREG,Hume Unregulated Catchment,Hume Natural minus Dartmouth Tooma and Geehi,,
HUNTRCK,Hunters Creek Fishway on Hindmarsh Island,,,
HUSSEYS,Husseys River Regulator,River Regulator settings - Edward River - NSW National Parks,,2.0
HUSSRDS,Husseys Regulator D/S,Millewa monitoring site,,
HUWESTP,Hume Weir STP,,,2.0
IBCUHCC,I Bank Creek upstream Hyperna Creek Chowilla,Chowilla System - South Australia,A4260600,
INDIGO,Indigo Creek at Barnawartha-Howlong Road,Indigo Creek at Barnawartha-Howlong Road downstream Creamery Bridge,403248A,4.0
INGSTP,Inglewood STP,,,1.0
INTERSE,The Intersecting Streams in NSW,NSW component of QLD Border streams,,2.0
INVSTP,Inverell STP,,,2.0
IODIPOL,Indian Ocean Dipole,"SST[X=50E:70E,Y=-10:10] - SST[X=90E:110E,Y=-10:0]",,
IQQMTEM,Temporary variable for IQQM data format,,,
ISB2GEE,Island Bend to Geehi,Island Bend to Geehi,,2.0
ISLNDCK,Island Creek River Regulator,River Regulator settings - Murray River - Barmah forest - VIC National Parks,,4.0
IVTSMST,Snowy-Murray to Snowy-Tumut,Transfers,,2.0
IVTSTSM,Snowy-Tumut to Snowy-Murray,Transfers,,2.0
J76WP17,"Floodway, Boundary J76 & WP17",,,2.0
JACOBS,JACOBS CREEK - JACOBS LADDER,JACOBS CREEK - JACOBS LADDER,222015,2.0
JARRAHM,Snowy River at Jarrahmond,,,2.0
JEMES2C,Jemalong No. 2C Escape,,,2.0
JEMESC,Jemalong Escape,,,2.0
JEMESC2,Jemalong No.2 Escape,,,2.0
