planning_unit_name,LTWPShortName,env_obj,Specific_goal,Objective,Target,state,SWSDLName
Beavers and Old Mans Creek,Murrumbidgee,NF8,trout cod,Increase the prevalence and/or expand the population of key moderate to long-lived riverine specialist native fish species into new areas (within historical range),Native fish,NSW,Murrumbidgee
Beavers and Old Mans Creek,Murrumbidgee,NF8,Macquarie perch,Increase the prevalence and/or expand the population of key moderate to long-lived riverine specialist native fish species into new areas (within historical range),Native fish,NSW,Murrumbidgee
Beavers and Old Mans Creek,Murrumbidgee,NF8,freshwater catfish,Increase the prevalence and/or expand the population of key moderate to long-lived riverine specialist native fish species into new areas (within historical range),Native fish,NSW,Murrumbidgee
Beavers and Old Mans Creek,Murrumbidgee,NF8,purple-spotted gudgeon,Increase the prevalence and/or expand the population of key moderate to long-lived riverine specialist native fish species into new areas (within historical range),Native fish,NSW,Murrumbidgee
Beavers and Old Mans Creek,Murrumbidgee,NF8,olive perchlet,Increase the prevalence and/or expand the population of key moderate to long-lived riverine specialist native fish species into new areas (within historical range),Native fish,NSW,Murrumbidgee
Beavers and Old Mans Creek,Murrumbidgee,NF8,river blackfish,Increase the prevalence and/or expand the population of key moderate to long-lived riverine specialist native fish species into new areas (within historical range),Native fish,NSW,Murrumbidgee
Murrumbidgee River_Balranald to Murray,Murrumbidgee,NF8,trout cod,Increase the prevalence and/or expand the population of key moderate to long-lived riverine specialist native fish species into new areas (within historical range),Native fish,NSW,Murrumbidgee
Murrumbidgee River_Balranald to Murray,Murrumbidgee,NF8,Macquarie perch,Increase the prevalence and/or expand the population of key moderate to long-lived riverine specialist native fish species into new areas (within historical range),Native fish,NSW,Murrumbidgee
Murrumbidgee River_Balranald to Murray,Murrumbidgee,NF8,freshwater catfish,Increase the prevalence and/or expand the population of key moderate to long-lived riverine specialist native fish species into new areas (within historical range),Native fish,NSW,Murrumbidgee
Murrumbidgee River_Balranald to Murray,Murrumbidgee,NF8,purple-spotted gudgeon,Increase the prevalence and/or expand the population of key moderate to long-lived riverine specialist native fish species into new areas (within historical range),Native fish,NSW,Murrumbidgee
Murrumbidgee River_Balranald to Murray,Murrumbidgee,NF8,olive perchlet,Increase the prevalence and/or expand the population of key moderate to long-lived riverine specialist native fish species into new areas (within historical range),Native fish,NSW,Murrumbidgee
Murrumbidgee River_Balranald to Murray,Murrumbidgee,NF8,river blackfish,Increase the prevalence and/or expand the population of key moderate to long-lived riverine specialist native fish species into new areas (within historical range),Native fish,NSW,Murrumbidgee
Lower Billabong intersecting streams,Murrumbidgee,NF8,trout cod,Increase the prevalence and/or expand the population of key moderate to long-lived riverine specialist native fish species into new areas (within historical range),Native fish,NSW,Murrumbidgee
Lower Billabong intersecting streams,Murrumbidgee,NF8,Macquarie perch,Increase the prevalence and/or expand the population of key moderate to long-lived riverine specialist native fish species into new areas (within historical range),Native fish,NSW,Murrumbidgee
Lower Billabong intersecting streams,Murrumbidgee,NF8,freshwater catfish,Increase the prevalence and/or expand the population of key moderate to long-lived riverine specialist native fish species into new areas (within historical range),Native fish,NSW,Murrumbidgee
Lower Billabong intersecting streams,Murrumbidgee,NF8,purple-spotted gudgeon,Increase the prevalence and/or expand the population of key moderate to long-lived riverine specialist native fish species into new areas (within historical range),Native fish,NSW,Murrumbidgee
Lower Billabong intersecting streams,Murrumbidgee,NF8,olive perchlet,Increase the prevalence and/or expand the population of key moderate to long-lived riverine specialist native fish species into new areas (within historical range),Native fish,NSW,Murrumbidgee
Lower Billabong intersecting streams,Murrumbidgee,NF8,river blackfish,Increase the prevalence and/or expand the population of key moderate to long-lived riverine specialist native fish species into new areas (within historical range),Native fish,NSW,Murrumbidgee
Murrumbidgee River_Tumut River Junction to Berembed Weir,Murrumbidgee,NF9,silver perch,Increase the prevalence and/or expand the population of key moderate to long-lived flow pulse specialists native fish species into new areas (within historical range),Native fish,NSW,Murrumbidgee
Murrumbidgee River_Berembed Weir to Gogeldrie Weir,Murrumbidgee,NF9,silver perch,Increase the prevalence and/or expand the population of key moderate to long-lived flow pulse specialists native fish species into new areas (within historical range),Native fish,NSW,Murrumbidgee
Tumut River below Blowering Dam,Murrumbidgee,NF9,silver perch,Increase the prevalence and/or expand the population of key moderate to long-lived flow pulse specialists native fish species into new areas (within historical range),Native fish,NSW,Murrumbidgee
Upper Yanco Creek,Murrumbidgee,NF9,silver perch,Increase the prevalence and/or expand the population of key moderate to long-lived flow pulse specialists native fish species into new areas (within historical range),Native fish,NSW,Murrumbidgee
Murrumbidgee River_Burrinjuck to Tumut Junction,Murrumbidgee,NF9,silver perch,Increase the prevalence and/or expand the population of key moderate to long-lived flow pulse specialists native fish species into new areas (within historical range),Native fish,NSW,Murrumbidgee
Colombo and Billabong Creeks to Lower Billabong Creek,Murrumbidgee,NF9,silver perch,Increase the prevalence and/or expand the population of key moderate to long-lived flow pulse specialists native fish species into new areas (within historical range),Native fish,NSW,Murrumbidgee
Lower Yanco Creek to Lower Billabong Creek,Murrumbidgee,NF9,silver perch,Increase the prevalence and/or expand the population of key moderate to long-lived flow pulse specialists native fish species into new areas (within historical range),Native fish,NSW,Murrumbidgee
Murrumbidgee River_Gogeldrie Weir to Maude Weir,Murrumbidgee,NF9,silver perch,Increase the prevalence and/or expand the population of key moderate to long-lived flow pulse specialists native fish species into new areas (within historical range),Native fish,NSW,Murrumbidgee
Upper Murrumbidgee River_Tantangara to Burrinjuck,Murrumbidgee,NF9,silver perch,Increase the prevalence and/or expand the population of key moderate to long-lived flow pulse specialists native fish species into new areas (within historical range),Native fish,NSW,Murrumbidgee
Lower Murrumbidgee Floodplain,Murrumbidgee,NF9,silver perch,Increase the prevalence and/or expand the population of key moderate to long-lived flow pulse specialists native fish species into new areas (within historical range),Native fish,NSW,Murrumbidgee
Beavers and Old Mans Creek,Murrumbidgee,NF9,silver perch,Increase the prevalence and/or expand the population of key moderate to long-lived flow pulse specialists native fish species into new areas (within historical range),Native fish,NSW,Murrumbidgee
Murrumbidgee River_Balranald to Murray,Murrumbidgee,NF9,silver perch,Increase the prevalence and/or expand the population of key moderate to long-lived flow pulse specialists native fish species into new areas (within historical range),Native fish,NSW,Murrumbidgee
Lower Billabong intersecting streams,Murrumbidgee,NF9,silver perch,Increase the prevalence and/or expand the population of key moderate to long-lived flow pulse specialists native fish species into new areas (within historical range),Native fish,NSW,Murrumbidgee
Murrumbidgee River_Tumut River Junction to Berembed Weir,Murrumbidgee,NV1,Non-woody vegetation communities,Maintain the extent & viability of non-woody vegetation communities occurring within or closely fringing river channels,Native vegetation,NSW,Murrumbidgee
Murrumbidgee River_Berembed Weir to Gogeldrie Weir,Murrumbidgee,NV1,Non-woody vegetation communities,Maintain the extent & viability of non-woody vegetation communities occurring within or closely fringing river channels,Native vegetation,NSW,Murrumbidgee
Tumut River below Blowering Dam,Murrumbidgee,NV1,Non-woody vegetation communities,Maintain the extent & viability of non-woody vegetation communities occurring within or closely fringing river channels,Native vegetation,NSW,Murrumbidgee
Upper Yanco Creek,Murrumbidgee,NV1,Non-woody vegetation communities,Maintain the extent & viability of non-woody vegetation communities occurring within or closely fringing river channels,Native vegetation,NSW,Murrumbidgee
Murrumbidgee River_Burrinjuck to Tumut Junction,Murrumbidgee,NV1,Non-woody vegetation communities,Maintain the extent & viability of non-woody vegetation communities occurring within or closely fringing river channels,Native vegetation,NSW,Murrumbidgee
Colombo and Billabong Creeks to Lower Billabong Creek,Murrumbidgee,NV1,Non-woody vegetation communities,Maintain the extent & viability of non-woody vegetation communities occurring within or closely fringing river channels,Native vegetation,NSW,Murrumbidgee
Lower Yanco Creek to Lower Billabong Creek,Murrumbidgee,NV1,Non-woody vegetation communities,Maintain the extent & viability of non-woody vegetation communities occurring within or closely fringing river channels,Native vegetation,NSW,Murrumbidgee
Murrumbidgee River_Gogeldrie Weir to Maude Weir,Murrumbidgee,NV1,Non-woody vegetation communities,Maintain the extent & viability of non-woody vegetation communities occurring within or closely fringing river channels,Native vegetation,NSW,Murrumbidgee
Upper Murrumbidgee River_Tantangara to Burrinjuck,Murrumbidgee,NV1,Non-woody vegetation communities,Maintain the extent & viability of non-woody vegetation communities occurring within or closely fringing river channels,Native vegetation,NSW,Murrumbidgee
Lower Murrumbidgee Floodplain,Murrumbidgee,NV1,Non-woody vegetation communities,Maintain the extent & viability of non-woody vegetation communities occurring within or closely fringing river channels,Native vegetation,NSW,Murrumbidgee
Beavers and Old Mans Creek,Murrumbidgee,NV1,Non-woody vegetation communities,Maintain the extent & viability of non-woody vegetation communities occurring within or closely fringing river channels,Native vegetation,NSW,Murrumbidgee
Murrumbidgee River_Balranald to Murray,Murrumbidgee,NV1,Non-woody vegetation communities,Maintain the extent & viability of non-woody vegetation communities occurring within or closely fringing river channels,Native vegetation,NSW,Murrumbidgee
Lower Billabong intersecting streams,Murrumbidgee,NV1,Non-woody vegetation communities,Maintain the extent & viability of non-woody vegetation communities occurring within or closely fringing river channels,Native vegetation,NSW,Murrumbidgee
Murrumbidgee River_Tumut River Junction to Berembed Weir,Murrumbidgee,NV3,River red gum communities,Maintain the extent & improve the condition of river red gum communities closely fringing river channels,Native vegetation,NSW,Murrumbidgee
Murrumbidgee River_Berembed Weir to Gogeldrie Weir,Murrumbidgee,NV3,River red gum communities,Maintain the extent & improve the condition of river red gum communities closely fringing river channels,Native vegetation,NSW,Murrumbidgee
Tumut River below Blowering Dam,Murrumbidgee,NV3,River red gum communities,Maintain the extent & improve the condition of river red gum communities closely fringing river channels,Native vegetation,NSW,Murrumbidgee
Upper Yanco Creek,Murrumbidgee,NV3,River red gum communities,Maintain the extent & improve the condition of river red gum communities closely fringing river channels,Native vegetation,NSW,Murrumbidgee
Murrumbidgee River_Burrinjuck to Tumut Junction,Murrumbidgee,NV3,River red gum communities,Maintain the extent & improve the condition of river red gum communities closely fringing river channels,Native vegetation,NSW,Murrumbidgee
Colombo and Billabong Creeks to Lower Billabong Creek,Murrumbidgee,NV3,River red gum communities,Maintain the extent & improve the condition of river red gum communities closely fringing river channels,Native vegetation,NSW,Murrumbidgee
Lower Yanco Creek to Lower Billabong Creek,Murrumbidgee,NV3,River red gum communities,Maintain the extent & improve the condition of river red gum communities closely fringing river channels,Native vegetation,NSW,Murrumbidgee
Murrumbidgee River_Gogeldrie Weir to Maude Weir,Murrumbidgee,NV3,River red gum communities,Maintain the extent & improve the condition of river red gum communities closely fringing river channels,Native vegetation,NSW,Murrumbidgee
Upper Murrumbidgee River_Tantangara to Burrinjuck,Murrumbidgee,NV3,River red gum communities,Maintain the extent & improve the condition of river red gum communities closely fringing river channels,Native vegetation,NSW,Murrumbidgee
Lower Murrumbidgee Floodplain,Murrumbidgee,NV3,River red gum communities,Maintain the extent & improve the condition of river red gum communities closely fringing river channels,Native vegetation,NSW,Murrumbidgee
Beavers and Old Mans Creek,Murrumbidgee,NV3,River red gum communities,Maintain the extent & improve the condition of river red gum communities closely fringing river channels,Native vegetation,NSW,Murrumbidgee
Murrumbidgee River_Balranald to Murray,Murrumbidgee,NV3,River red gum communities,Maintain the extent & improve the condition of river red gum communities closely fringing river channels,Native vegetation,NSW,Murrumbidgee
Lower Billabong intersecting streams,Murrumbidgee,NV3,River red gum communities,Maintain the extent & improve the condition of river red gum communities closely fringing river channels,Native vegetation,NSW,Murrumbidgee
Murrumbidgee River_Tumut River Junction to Berembed Weir,Murrumbidgee,NV4a,River red gum forest,Maintain or increase the extent & maintain or improve the condition of native woodland & shrubland communities on floodplains,Native vegetation,NSW,Murrumbidgee
Murrumbidgee River_Berembed Weir to Gogeldrie Weir,Murrumbidgee,NV4a,River red gum forest,Maintain or increase the extent & maintain or improve the condition of native woodland & shrubland communities on floodplains,Native vegetation,NSW,Murrumbidgee
Tumut River below Blowering Dam,Murrumbidgee,NV4a,River red gum forest,Maintain or increase the extent & maintain or improve the condition of native woodland & shrubland communities on floodplains,Native vegetation,NSW,Murrumbidgee
Upper Yanco Creek,Murrumbidgee,NV4a,River red gum forest,Maintain or increase the extent & maintain or improve the condition of native woodland & shrubland communities on floodplains,Native vegetation,NSW,Murrumbidgee
Murrumbidgee River_Burrinjuck to Tumut Junction,Murrumbidgee,NV4a,River red gum forest,Maintain or increase the extent & maintain or improve the condition of native woodland & shrubland communities on floodplains,Native vegetation,NSW,Murrumbidgee
Colombo and Billabong Creeks to Lower Billabong Creek,Murrumbidgee,NV4a,River red gum forest,Maintain or increase the extent & maintain or improve the condition of native woodland & shrubland communities on floodplains,Native vegetation,NSW,Murrumbidgee
Lower Yanco Creek to Lower Billabong Creek,Murrumbidgee,NV4a,River red gum forest,Maintain or increase the extent & maintain or improve the condition of native woodland & shrubland communities on floodplains,Native vegetation,NSW,Murrumbidgee
Murrumbidgee River_Gogeldrie Weir to Maude Weir,Murrumbidgee,NV4a,River red gum forest,Maintain or increase the extent & maintain or improve the condition of native woodland & shrubland communities on floodplains,Native vegetation,NSW,Murrumbidgee
Upper Murrumbidgee River_Tantangara to Burrinjuck,Murrumbidgee,NV4a,River red gum forest,Maintain or increase the extent & maintain or improve the condition of native woodland & shrubland communities on floodplains,Native vegetation,NSW,Murrumbidgee
Lower Murrumbidgee Floodplain,Murrumbidgee,NV4a,River red gum forest,Maintain or increase the extent & maintain or improve the condition of native woodland & shrubland communities on floodplains,Native vegetation,NSW,Murrumbidgee
Beavers and Old Mans Creek,Murrumbidgee,NV4a,River red gum forest,Maintain or increase the extent & maintain or improve the condition of native woodland & shrubland communities on floodplains,Native vegetation,NSW,Murrumbidgee
Murrumbidgee River_Balranald to Murray,Murrumbidgee,NV4a,River red gum forest,Maintain or increase the extent & maintain or improve the condition of native woodland & shrubland communities on floodplains,Native vegetation,NSW,Murrumbidgee
Lower Billabong intersecting streams,Murrumbidgee,NV4a,River red gum forest,Maintain or increase the extent & maintain or improve the condition of native woodland & shrubland communities on floodplains,Native vegetation,NSW,Murrumbidgee
Murrumbidgee River_Tumut River Junction to Berembed Weir,Murrumbidgee,NV4b,River red gum woodlands,Maintain or increase the extent & maintain or improve the condition of native woodland & shrubland communities on floodplains,Native vegetation,NSW,Murrumbidgee
Murrumbidgee River_Berembed Weir to Gogeldrie Weir,Murrumbidgee,NV4b,River red gum woodlands,Maintain or increase the extent & maintain or improve the condition of native woodland & shrubland communities on floodplains,Native vegetation,NSW,Murrumbidgee
Tumut River below Blowering Dam,Murrumbidgee,NV4b,River red gum woodlands,Maintain or increase the extent & maintain or improve the condition of native woodland & shrubland communities on floodplains,Native vegetation,NSW,Murrumbidgee
Upper Yanco Creek,Murrumbidgee,NV4b,River red gum woodlands,Maintain or increase the extent & maintain or improve the condition of native woodland & shrubland communities on floodplains,Native vegetation,NSW,Murrumbidgee
Murrumbidgee River_Burrinjuck to Tumut Junction,Murrumbidgee,NV4b,River red gum woodlands,Maintain or increase the extent & maintain or improve the condition of native woodland & shrubland communities on floodplains,Native vegetation,NSW,Murrumbidgee
Colombo and Billabong Creeks to Lower Billabong Creek,Murrumbidgee,NV4b,River red gum woodlands,Maintain or increase the extent & maintain or improve the condition of native woodland & shrubland communities on floodplains,Native vegetation,NSW,Murrumbidgee
Lower Yanco Creek to Lower Billabong Creek,Murrumbidgee,NV4b,River red gum woodlands,Maintain or increase the extent & maintain or improve the condition of native woodland & shrubland communities on floodplains,Native vegetation,NSW,Murrumbidgee
Murrumbidgee River_Gogeldrie Weir to Maude Weir,Murrumbidgee,NV4b,River red gum woodlands,Maintain or increase the extent & maintain or improve the condition of native woodland & shrubland communities on floodplains,Native vegetation,NSW,Murrumbidgee
Upper Murrumbidgee River_Tantangara to Burrinjuck,Murrumbidgee,NV4b,River red gum woodlands,Maintain or increase the extent & maintain or improve the condition of native woodland & shrubland communities on floodplains,Native vegetation,NSW,Murrumbidgee
Lower Murrumbidgee Floodplain,Murrumbidgee,NV4b,River red gum woodlands,Maintain or increase the extent & maintain or improve the condition of native woodland & shrubland communities on floodplains,Native vegetation,NSW,Murrumbidgee
Beavers and Old Mans Creek,Murrumbidgee,NV4b,River red gum woodlands,Maintain or increase the extent & maintain or improve the condition of native woodland & shrubland communities on floodplains,Native vegetation,NSW,Murrumbidgee
Murrumbidgee River_Balranald to Murray,Murrumbidgee,NV4b,River red gum woodlands,Maintain or increase the extent & maintain or improve the condition of native woodland & shrubland communities on floodplains,Native vegetation,NSW,Murrumbidgee
Lower Billabong intersecting streams,Murrumbidgee,NV4b,River red gum woodlands,Maintain or increase the extent & maintain or improve the condition of native woodland & shrubland communities on floodplains,Native vegetation,NSW,Murrumbidgee
Upper Yanco Creek,Murrumbidgee,NV4c,Black box woodland,Maintain or increase the extent & maintain or improve the condition of native woodland & shrubland communities on floodplains,Native vegetation,NSW,Murrumbidgee
Colombo and Billabong Creeks to Lower Billabong Creek,Murrumbidgee,NV4c,Black box woodland,Maintain or increase the extent & maintain or improve the condition of native woodland & shrubland communities on floodplains,Native vegetation,NSW,Murrumbidgee
Lower Yanco Creek to Lower Billabong Creek,Murrumbidgee,NV4c,Black box woodland,Maintain or increase the extent & maintain or improve the condition of native woodland & shrubland communities on floodplains,Native vegetation,NSW,Murrumbidgee
Murrumbidgee River_Gogeldrie Weir to Maude Weir,Murrumbidgee,NV4c,Black box woodland,Maintain or increase the extent & maintain or improve the condition of native woodland & shrubland communities on floodplains,Native vegetation,NSW,Murrumbidgee
Lower Murrumbidgee Floodplain,Murrumbidgee,NV4c,Black box woodland,Maintain or increase the extent & maintain or improve the condition of native woodland & shrubland communities on floodplains,Native vegetation,NSW,Murrumbidgee
Murrumbidgee River_Balranald to Murray,Murrumbidgee,NV4c,Black box woodland,Maintain or increase the extent & maintain or improve the condition of native woodland & shrubland communities on floodplains,Native vegetation,NSW,Murrumbidgee
Lower Billabong intersecting streams,Murrumbidgee,NV4c,Black box woodland,Maintain or increase the extent & maintain or improve the condition of native woodland & shrubland communities on floodplains,Native vegetation,NSW,Murrumbidgee
Murrumbidgee River_Tumut River Junction to Berembed Weir,Murrumbidgee,NV4e,Lignum shrublands,Maintain or increase the extent & maintain or improve the condition of native woodland & shrubland communities on floodplains,Native vegetation,NSW,Murrumbidgee
Murrumbidgee River_Berembed Weir to Gogeldrie Weir,Murrumbidgee,NV4e,Lignum shrublands,Maintain or increase the extent & maintain or improve the condition of native woodland & shrubland communities on floodplains,Native vegetation,NSW,Murrumbidgee
Tumut River below Blowering Dam,Murrumbidgee,NV4e,Lignum shrublands,Maintain or increase the extent & maintain or improve the condition of native woodland & shrubland communities on floodplains,Native vegetation,NSW,Murrumbidgee
Upper Yanco Creek,Murrumbidgee,NV4e,Lignum shrublands,Maintain or increase the extent & maintain or improve the condition of native woodland & shrubland communities on floodplains,Native vegetation,NSW,Murrumbidgee
Murrumbidgee River_Burrinjuck to Tumut Junction,Murrumbidgee,NV4e,Lignum shrublands,Maintain or increase the extent & maintain or improve the condition of native woodland & shrubland communities on floodplains,Native vegetation,NSW,Murrumbidgee
Colombo and Billabong Creeks to Lower Billabong Creek,Murrumbidgee,NV4e,Lignum shrublands,Maintain or increase the extent & maintain or improve the condition of native woodland & shrubland communities on floodplains,Native vegetation,NSW,Murrumbidgee
Lower Yanco Creek to Lower Billabong Creek,Murrumbidgee,NV4e,Lignum shrublands,Maintain or increase the extent & maintain or improve the condition of native woodland & shrubland communities on floodplains,Native vegetation,NSW,Murrumbidgee
Murrumbidgee River_Gogeldrie Weir to Maude Weir,Murrumbidgee,NV4e,Lignum shrublands,Maintain or increase the extent & maintain or improve the condition of native woodland & shrubland communities on floodplains,Native vegetation,NSW,Murrumbidgee
Upper Murrumbidgee River_Tantangara to Burrinjuck,Murrumbidgee,NV4e,Lignum shrublands,Maintain or increase the extent & maintain or improve the condition of native woodland & shrubland communities on floodplains,Native vegetation,NSW,Murrumbidgee
Lower Murrumbidgee Floodplain,Murrumbidgee,NV4e,Lignum shrublands,Maintain or increase the extent & maintain or improve the condition of native woodland & shrubland communities on floodplains,Native vegetation,NSW,Murrumbidgee
Beavers and Old Mans Creek,Murrumbidgee,NV4e,Lignum shrublands,Maintain or increase the extent & maintain or improve the condition of native woodland & shrubland communities on floodplains,Native vegetation,NSW,Murrumbidgee
Murrumbidgee River_Balranald to Murray,Murrumbidgee,NV4e,Lignum shrublands,Maintain or increase the extent & maintain or improve the condition of native woodland & shrubland communities on floodplains,Native vegetation,NSW,Murrumbidgee
Lower Billabong intersecting streams,Murrumbidgee,NV4e,Lignum shrublands,Maintain or increase the extent & maintain or improve the condition of native woodland & shrubland communities on floodplains,Native vegetation,NSW,Murrumbidgee
Murrumbidgee River_Tumut River Junction to Berembed Weir,Murrumbidgee,OS1,All flow-dependent frog species,Maintain species richness of flow-dependent frog communities,Other species,NSW,Murrumbidgee
Murrumbidgee River_Berembed Weir to Gogeldrie Weir,Murrumbidgee,OS1,All flow-dependent frog species,Maintain species richness of flow-dependent frog communities,Other species,NSW,Murrumbidgee
Tumut River below Blowering Dam,Murrumbidgee,OS1,All flow-dependent frog species,Maintain species richness of flow-dependent frog communities,Other species,NSW,Murrumbidgee
Upper Yanco Creek,Murrumbidgee,OS1,All flow-dependent frog species,Maintain species richness of flow-dependent frog communities,Other species,NSW,Murrumbidgee
Murrumbidgee River_Burrinjuck to Tumut Junction,Murrumbidgee,OS1,All flow-dependent frog species,Maintain species richness of flow-dependent frog communities,Other species,NSW,Murrumbidgee
Colombo and Billabong Creeks to Lower Billabong Creek,Murrumbidgee,OS1,All flow-dependent frog species,Maintain species richness of flow-dependent frog communities,Other species,NSW,Murrumbidgee
Lower Yanco Creek to Lower Billabong Creek,Murrumbidgee,OS1,All flow-dependent frog species,Maintain species richness of flow-dependent frog communities,Other species,NSW,Murrumbidgee
Murrumbidgee River_Gogeldrie Weir to Maude Weir,Murrumbidgee,OS1,All flow-dependent frog species,Maintain species richness of flow-dependent frog communities,Other species,NSW,Murrumbidgee
Upper Murrumbidgee River_Tantangara to Burrinjuck,Murrumbidgee,OS1,All flow-dependent frog species,Maintain species richness of flow-dependent frog communities,Other species,NSW,Murrumbidgee
Lower Murrumbidgee Floodplain,Murrumbidgee,OS1,All flow-dependent frog species,Maintain species richness of flow-dependent frog communities,Other species,NSW,Murrumbidgee
Beavers and Old Mans Creek,Murrumbidgee,OS1,All flow-dependent frog species,Maintain species richness of flow-dependent frog communities,Other species,NSW,Murrumbidgee
Murrumbidgee River_Balranald to Murray,Murrumbidgee,OS1,All flow-dependent frog species,Maintain species richness of flow-dependent frog communities,Other species,NSW,Murrumbidgee
Lower Billabong intersecting streams,Murrumbidgee,OS1,All flow-dependent frog species,Maintain species richness of flow-dependent frog communities,Other species,NSW,Murrumbidgee
Murrumbidgee River_Tumut River Junction to Berembed Weir,Murrumbidgee,OS2,All flow-dependent frog species,Maintain successful breeding opportunities for flow-dependent frog species,Other species,NSW,Murrumbidgee
Murrumbidgee River_Berembed Weir to Gogeldrie Weir,Murrumbidgee,OS2,All flow-dependent frog species,Maintain successful breeding opportunities for flow-dependent frog species,Other species,NSW,Murrumbidgee
Tumut River below Blowering Dam,Murrumbidgee,OS2,All flow-dependent frog species,Maintain successful breeding opportunities for flow-dependent frog species,Other species,NSW,Murrumbidgee
Upper Yanco Creek,Murrumbidgee,OS2,All flow-dependent frog species,Maintain successful breeding opportunities for flow-dependent frog species,Other species,NSW,Murrumbidgee
Murrumbidgee River_Burrinjuck to Tumut Junction,Murrumbidgee,OS2,All flow-dependent frog species,Maintain successful breeding opportunities for flow-dependent frog species,Other species,NSW,Murrumbidgee
Colombo and Billabong Creeks to Lower Billabong Creek,Murrumbidgee,OS2,All flow-dependent frog species,Maintain successful breeding opportunities for flow-dependent frog species,Other species,NSW,Murrumbidgee
Lower Yanco Creek to Lower Billabong Creek,Murrumbidgee,OS2,All flow-dependent frog species,Maintain successful breeding opportunities for flow-dependent frog species,Other species,NSW,Murrumbidgee
Murrumbidgee River_Gogeldrie Weir to Maude Weir,Murrumbidgee,OS2,All flow-dependent frog species,Maintain successful breeding opportunities for flow-dependent frog species,Other species,NSW,Murrumbidgee
Upper Murrumbidgee River_Tantangara to Burrinjuck,Murrumbidgee,OS2,All flow-dependent frog species,Maintain successful breeding opportunities for flow-dependent frog species,Other species,NSW,Murrumbidgee
Lower Murrumbidgee Floodplain,Murrumbidgee,OS2,All flow-dependent frog species,Maintain successful breeding opportunities for flow-dependent frog species,Other species,NSW,Murrumbidgee
Beavers and Old Mans Creek,Murrumbidgee,OS2,All flow-dependent frog species,Maintain successful breeding opportunities for flow-dependent frog species,Other species,NSW,Murrumbidgee
Murrumbidgee River_Balranald to Murray,Murrumbidgee,OS2,All flow-dependent frog species,Maintain successful breeding opportunities for flow-dependent frog species,Other species,NSW,Murrumbidgee
Lower Billabong intersecting streams,Murrumbidgee,OS2,All flow-dependent frog species,Maintain successful breeding opportunities for flow-dependent frog species,Other species,NSW,Murrumbidgee
Murrumbidgee River_Tumut River Junction to Berembed Weir,Murrumbidgee,WB1,All waterbird species,Maintain the number & type of waterbird species,Waterbird,NSW,Murrumbidgee
Murrumbidgee River_Berembed Weir to Gogeldrie Weir,Murrumbidgee,WB1,All waterbird species,Maintain the number & type of waterbird species,Waterbird,NSW,Murrumbidgee
Tumut River below Blowering Dam,Murrumbidgee,WB1,All waterbird species,Maintain the number & type of waterbird species,Waterbird,NSW,Murrumbidgee
Upper Yanco Creek,Murrumbidgee,WB1,All waterbird species,Maintain the number & type of waterbird species,Waterbird,NSW,Murrumbidgee
Murrumbidgee River_Burrinjuck to Tumut Junction,Murrumbidgee,WB1,All waterbird species,Maintain the number & type of waterbird species,Waterbird,NSW,Murrumbidgee
Colombo and Billabong Creeks to Lower Billabong Creek,Murrumbidgee,WB1,All waterbird species,Maintain the number & type of waterbird species,Waterbird,NSW,Murrumbidgee
Lower Yanco Creek to Lower Billabong Creek,Murrumbidgee,WB1,All waterbird species,Maintain the number & type of waterbird species,Waterbird,NSW,Murrumbidgee
Murrumbidgee River_Gogeldrie Weir to Maude Weir,Murrumbidgee,WB1,All waterbird species,Maintain the number & type of waterbird species,Waterbird,NSW,Murrumbidgee
Upper Murrumbidgee River_Tantangara to Burrinjuck,Murrumbidgee,WB1,All waterbird species,Maintain the number & type of waterbird species,Waterbird,NSW,Murrumbidgee
Lower Murrumbidgee Floodplain,Murrumbidgee,WB1,All waterbird species,Maintain the number & type of waterbird species,Waterbird,NSW,Murrumbidgee
Beavers and Old Mans Creek,Murrumbidgee,WB1,All waterbird species,Maintain the number & type of waterbird species,Waterbird,NSW,Murrumbidgee
Murrumbidgee River_Balranald to Murray,Murrumbidgee,WB1,All waterbird species,Maintain the number & type of waterbird species,Waterbird,NSW,Murrumbidgee
Lower Billabong intersecting streams,Murrumbidgee,WB1,All waterbird species,Maintain the number & type of waterbird species,Waterbird,NSW,Murrumbidgee
Murrumbidgee River_Tumut River Junction to Berembed Weir,Murrumbidgee,WB2,All waterbird species,Increase total waterbird abundance across all functional groups,Waterbird,NSW,Murrumbidgee
Murrumbidgee River_Berembed Weir to Gogeldrie Weir,Murrumbidgee,WB2,All waterbird species,Increase total waterbird abundance across all functional groups,Waterbird,NSW,Murrumbidgee
Tumut River below Blowering Dam,Murrumbidgee,WB2,All waterbird species,Increase total waterbird abundance across all functional groups,Waterbird,NSW,Murrumbidgee
Upper Yanco Creek,Murrumbidgee,WB2,All waterbird species,Increase total waterbird abundance across all functional groups,Waterbird,NSW,Murrumbidgee
Murrumbidgee River_Burrinjuck to Tumut Junction,Murrumbidgee,WB2,All waterbird species,Increase total waterbird abundance across all functional groups,Waterbird,NSW,Murrumbidgee
Colombo and Billabong Creeks to Lower Billabong Creek,Murrumbidgee,WB2,All waterbird species,Increase total waterbird abundance across all functional groups,Waterbird,NSW,Murrumbidgee
