planning_unit_name,LTWPShortName,Env_obj,Objective,Target,state
Campbells Creek and Camp Creek Water Source,NSW Border Rivers,EF1,Provide and protect a diversity of refugia across the landscape,Ecosystem Functions,NSW
Campbells Creek and Camp Creek Water Source,NSW Border Rivers,EF2,"Create quality instream, floodplain and wetland habitat",Ecosystem Functions,NSW
Campbells Creek and Camp Creek Water Source,NSW Border Rivers,EF3a,"Provide movement and dispersal opportunities within, and between, catchments for water-dependent biota to complete lifecycles and disperse into new habitats (within catchments)",Ecosystem Functions,NSW
Campbells Creek and Camp Creek Water Source,NSW Border Rivers,EF3b,"Provide movement and dispersal opportunities within, and between, catchments for water-dependent biota to complete lifecycles and disperse into new habitats (between catchments)",Ecosystem Functions,NSW
Campbells Creek and Camp Creek Water Source,NSW Border Rivers,EF4,Support instream and floodplain productivity,Ecosystem Functions,NSW
Campbells Creek and Camp Creek Water Source,NSW Border Rivers,EF5,"Support nutrient, carbon and sediment transport along channels, and exchange between channels and floodplains/wetlands",Ecosystem Functions,NSW
Campbells Creek and Camp Creek Water Source,NSW Border Rivers,EF6,Support groundwater conditions to sustain groundwater-dependent biota,Ecosystem Functions,NSW
Campbells Creek and Camp Creek Water Source,NSW Border Rivers,EF7,Increase the contribution of flows into the Murray and Barwon-Darling from tributaries,Ecosystem Functions,NSW
Yetman Water Source,NSW Border Rivers,NF1,No loss of native fish species,Native Fish,NSW
Yetman Water Source,NSW Border Rivers,NF2,Increase the distribution and abundance of short to moderate-lived generalist native fish species,Native Fish,NSW
Yetman Water Source,NSW Border Rivers,NF3,Increase the distribution and abundance of short to moderate-lived floodplain specialist native fish species,Native Fish,NSW
Yetman Water Source,NSW Border Rivers,NF4,Improve native fish population structure for moderate to long-lived flow pulse specialist native fish species,Native Fish,NSW
Yetman Water Source,NSW Border Rivers,NF5,Improve native fish population structure for moderate to long-lived riverine specialist native fish species,Native Fish,NSW
Yetman Water Source,NSW Border Rivers,NF6,A 25 percent increase in abundance of mature (harvestable-sized) golden perch and Murray cod,Native Fish,NSW
Yetman Water Source,NSW Border Rivers,NF7,Increase the prevalence and/or expand the population of key short to moderate-lived floodplain specialist native fish species into new areas (within historical range),Native Fish,NSW
Yetman Water Source,NSW Border Rivers,NF8,Increase the prevalence and/or expand the population of key moderate to long-lived riverine specialist native fish species into new areas (within historical range),Native Fish,NSW
Yetman Water Source,NSW Border Rivers,NF9,Increase the prevalence and/or expand the population of key moderate to long-lived flow pulse specialists native fish species into new areas (within historical range),Native Fish,NSW
Yetman Water Source,NSW Border Rivers,NV1,Maintain the extent and viability of non-woody vegetation communities occurring within channels,Native Vegetation,NSW
Yetman Water Source,NSW Border Rivers,NV2,Maintain or increase the extent and maintain the viability of non-woody vegetation communities occurring in wetlands and on floodplains,Native Vegetation,NSW
Yetman Water Source,NSW Border Rivers,NV3,Maintain the extent and improve the condition of river red gum communities closely fringing river channels,Native Vegetation,NSW
Yetman Water Source,NSW Border Rivers,NV4a,Maintain or increase the extent and maintain or improve the condition of native woodland and shrubland communities on floodplains (River red gum forest),Native Vegetation,NSW
Yetman Water Source,NSW Border Rivers,NV4b,Maintain or increase the extent and maintain or improve the condition of native woodland and shrubland communities on floodplains (River red gum woodland),Native Vegetation,NSW
Yetman Water Source,NSW Border Rivers,NV4c,Maintain or increase the extent and maintain or improve the condition of native woodland and shrubland communities on floodplains (Black box woodland),Native Vegetation,NSW
Yetman Water Source,NSW Border Rivers,NV4d,Maintain or increase the extent and maintain or improve the condition of native woodland and shrubland communities on floodplains (Coolibah woodland),Native Vegetation,NSW
Yetman Water Source,NSW Border Rivers,NV4e,Maintain or increase the extent and maintain or improve the condition of native woodland and shrubland communities on floodplains (Lignum shrublands),Native Vegetation,NSW
Yetman Water Source,NSW Border Rivers,WB1,Maintain the number and type of waterbird species,Waterbirds,NSW
Yetman Water Source,NSW Border Rivers,WB2,Increase total waterbird abundance across all functional groups,Waterbirds,NSW
Yetman Water Source,NSW Border Rivers,WB3,Increase opportunities for non-colonial waterbird breeding,Waterbirds,NSW
Yetman Water Source,NSW Border Rivers,WB5,Maintain the extent and improve condition of waterbird habitats,Waterbirds,NSW
Yetman Water Source,NSW Border Rivers,EF1,Provide and protect a diversity of refugia across the landscape,Ecosystem Functions,NSW
Yetman Water Source,NSW Border Rivers,EF2,"Create quality instream, floodplain and wetland habitat",Ecosystem Functions,NSW
Yetman Water Source,NSW Border Rivers,EF3a,"Provide movement and dispersal opportunities within, and between, catchments for water-dependent biota to complete lifecycles and disperse into new habitats (within catchments)",Ecosystem Functions,NSW
Yetman Water Source,NSW Border Rivers,EF3b,"Provide movement and dispersal opportunities within, and between, catchments for water-dependent biota to complete lifecycles and disperse into new habitats (between catchments)",Ecosystem Functions,NSW
Yetman Water Source,NSW Border Rivers,EF4,Support instream and floodplain productivity,Ecosystem Functions,NSW
Yetman Water Source,NSW Border Rivers,EF5,"Support nutrient, carbon and sediment transport along channels, and exchange between channels and floodplains/wetlands",Ecosystem Functions,NSW
Yetman Water Source,NSW Border Rivers,EF6,Support groundwater conditions to sustain groundwater-dependent biota,Ecosystem Functions,NSW
Yetman Water Source,NSW Border Rivers,EF7,Increase the contribution of flows into the Murray and Barwon-Darling from tributaries,Ecosystem Functions,NSW
Ottleys Creek Water Source,NSW Border Rivers,NF1,No loss of native fish species,Native Fish,NSW
Ottleys Creek Water Source,NSW Border Rivers,NF2,Increase the distribution and abundance of short to moderate-lived generalist native fish species,Native Fish,NSW
Ottleys Creek Water Source,NSW Border Rivers,NF3,Increase the distribution and abundance of short to moderate-lived floodplain specialist native fish species,Native Fish,NSW
Ottleys Creek Water Source,NSW Border Rivers,NF4,Improve native fish population structure for moderate to long-lived flow pulse specialist native fish species,Native Fish,NSW
Ottleys Creek Water Source,NSW Border Rivers,NF5,Improve native fish population structure for moderate to long-lived riverine specialist native fish species,Native Fish,NSW
Ottleys Creek Water Source,NSW Border Rivers,NF6,A 25 percent increase in abundance of mature (harvestable-sized) golden perch and Murray cod,Native Fish,NSW
Ottleys Creek Water Source,NSW Border Rivers,NF7,Increase the prevalence and/or expand the population of key short to moderate-lived floodplain specialist native fish species into new areas (within historical range),Native Fish,NSW
Ottleys Creek Water Source,NSW Border Rivers,NF8,Increase the prevalence and/or expand the population of key moderate to long-lived riverine specialist native fish species into new areas (within historical range),Native Fish,NSW
Ottleys Creek Water Source,NSW Border Rivers,NF9,Increase the prevalence and/or expand the population of key moderate to long-lived flow pulse specialists native fish species into new areas (within historical range),Native Fish,NSW
Ottleys Creek Water Source,NSW Border Rivers,NV1,Maintain the extent and viability of non-woody vegetation communities occurring within channels,Native Vegetation,NSW
Ottleys Creek Water Source,NSW Border Rivers,NV2,Maintain or increase the extent and maintain the viability of non-woody vegetation communities occurring in wetlands and on floodplains,Native Vegetation,NSW
Ottleys Creek Water Source,NSW Border Rivers,NV3,Maintain the extent and improve the condition of river red gum communities closely fringing river channels,Native Vegetation,NSW
Ottleys Creek Water Source,NSW Border Rivers,NV4a,Maintain or increase the extent and maintain or improve the condition of native woodland and shrubland communities on floodplains (River red gum forest),Native Vegetation,NSW
Ottleys Creek Water Source,NSW Border Rivers,NV4b,Maintain or increase the extent and maintain or improve the condition of native woodland and shrubland communities on floodplains (River red gum woodland),Native Vegetation,NSW
Ottleys Creek Water Source,NSW Border Rivers,NV4c,Maintain or increase the extent and maintain or improve the condition of native woodland and shrubland communities on floodplains (Black box woodland),Native Vegetation,NSW
Ottleys Creek Water Source,NSW Border Rivers,NV4d,Maintain or increase the extent and maintain or improve the condition of native woodland and shrubland communities on floodplains (Coolibah woodland),Native Vegetation,NSW
Ottleys Creek Water Source,NSW Border Rivers,NV4e,Maintain or increase the extent and maintain or improve the condition of native woodland and shrubland communities on floodplains (Lignum shrublands),Native Vegetation,NSW
Ottleys Creek Water Source,NSW Border Rivers,WB1,Maintain the number and type of waterbird species,Waterbirds,NSW
Ottleys Creek Water Source,NSW Border Rivers,WB2,Increase total waterbird abundance across all functional groups,Waterbirds,NSW
Ottleys Creek Water Source,NSW Border Rivers,WB3,Increase opportunities for non-colonial waterbird breeding,Waterbirds,NSW
Ottleys Creek Water Source,NSW Border Rivers,WB5,Maintain the extent and improve condition of waterbird habitats,Waterbirds,NSW
Ottleys Creek Water Source,NSW Border Rivers,EF1,Provide and protect a diversity of refugia across the landscape,Ecosystem Functions,NSW
Ottleys Creek Water Source,NSW Border Rivers,EF2,"Create quality instream, floodplain and wetland habitat",Ecosystem Functions,NSW
Ottleys Creek Water Source,NSW Border Rivers,EF3a,"Provide movement and dispersal opportunities within, and between, catchments for water-dependent biota to complete lifecycles and disperse into new habitats (within catchments)",Ecosystem Functions,NSW
Ottleys Creek Water Source,NSW Border Rivers,EF3b,"Provide movement and dispersal opportunities within, and between, catchments for water-dependent biota to complete lifecycles and disperse into new habitats (between catchments)",Ecosystem Functions,NSW
Ottleys Creek Water Source,NSW Border Rivers,EF4,Support instream and floodplain productivity,Ecosystem Functions,NSW
Ottleys Creek Water Source,NSW Border Rivers,EF5,"Support nutrient, carbon and sediment transport along channels, and exchange between channels and floodplains/wetlands",Ecosystem Functions,NSW
Ottleys Creek Water Source,NSW Border Rivers,EF6,Support groundwater conditions to sustain groundwater-dependent biota,Ecosystem Functions,NSW
Ottleys Creek Water Source,NSW Border Rivers,EF7,Increase the contribution of flows into the Murray and Barwon-Darling from tributaries,Ecosystem Functions,NSW
Confluence of Macintyre River and Dumaresq River,NSW Border Rivers,NF1,No loss of native fish species,Native Fish,NSW
Confluence of Macintyre River and Dumaresq River,NSW Border Rivers,NF2,Increase the distribution and abundance of short to moderate-lived generalist native fish species,Native Fish,NSW
Confluence of Macintyre River and Dumaresq River,NSW Border Rivers,NF3,Increase the distribution and abundance of short to moderate-lived floodplain specialist native fish species,Native Fish,NSW
Confluence of Macintyre River and Dumaresq River,NSW Border Rivers,NF4,Improve native fish population structure for moderate to long-lived flow pulse specialist native fish species,Native Fish,NSW
Confluence of Macintyre River and Dumaresq River,NSW Border Rivers,NF5,Improve native fish population structure for moderate to long-lived riverine specialist native fish species,Native Fish,NSW
Confluence of Macintyre River and Dumaresq River,NSW Border Rivers,NF6,A 25 percent increase in abundance of mature (harvestable-sized) golden perch and Murray cod,Native Fish,NSW
Confluence of Macintyre River and Dumaresq River,NSW Border Rivers,NF7,Increase the prevalence and/or expand the population of key short to moderate-lived floodplain specialist native fish species into new areas (within historical range),Native Fish,NSW
Confluence of Macintyre River and Dumaresq River,NSW Border Rivers,NF8,Increase the prevalence and/or expand the population of key moderate to long-lived riverine specialist native fish species into new areas (within historical range),Native Fish,NSW
Confluence of Macintyre River and Dumaresq River,NSW Border Rivers,NF9,Increase the prevalence and/or expand the population of key moderate to long-lived flow pulse specialists native fish species into new areas (within historical range),Native Fish,NSW
Confluence of Macintyre River and Dumaresq River,NSW Border Rivers,NV1,Maintain the extent and viability of non-woody vegetation communities occurring within channels,Native Vegetation,NSW
Confluence of Macintyre River and Dumaresq River,NSW Border Rivers,NV2,Maintain or increase the extent and maintain the viability of non-woody vegetation communities occurring in wetlands and on floodplains,Native Vegetation,NSW
Confluence of Macintyre River and Dumaresq River,NSW Border Rivers,NV3,Maintain the extent and improve the condition of river red gum communities closely fringing river channels,Native Vegetation,NSW
Confluence of Macintyre River and Dumaresq River,NSW Border Rivers,NV4a,Maintain or increase the extent and maintain or improve the condition of native woodland and shrubland communities on floodplains (River red gum forest),Native Vegetation,NSW
Confluence of Macintyre River and Dumaresq River,NSW Border Rivers,NV4b,Maintain or increase the extent and maintain or improve the condition of native woodland and shrubland communities on floodplains (River red gum woodland),Native Vegetation,NSW
Confluence of Macintyre River and Dumaresq River,NSW Border Rivers,NV4c,Maintain or increase the extent and maintain or improve the condition of native woodland and shrubland communities on floodplains (Black box woodland),Native Vegetation,NSW
Confluence of Macintyre River and Dumaresq River,NSW Border Rivers,NV4d,Maintain or increase the extent and maintain or improve the condition of native woodland and shrubland communities on floodplains (Coolibah woodland),Native Vegetation,NSW
Confluence of Macintyre River and Dumaresq River,NSW Border Rivers,NV4e,Maintain or increase the extent and maintain or improve the condition of native woodland and shrubland communities on floodplains (Lignum shrublands),Native Vegetation,NSW
Confluence of Macintyre River and Dumaresq River,NSW Border Rivers,WB1,Maintain the number and type of waterbird species,Waterbirds,NSW
Confluence of Macintyre River and Dumaresq River,NSW Border Rivers,WB2,Increase total waterbird abundance across all functional groups,Waterbirds,NSW
Confluence of Macintyre River and Dumaresq River,NSW Border Rivers,WB3,Increase opportunities for non-colonial waterbird breeding,Waterbirds,NSW
Confluence of Macintyre River and Dumaresq River,NSW Border Rivers,WB5,Maintain the extent and improve condition of waterbird habitats,Waterbirds,NSW
Confluence of Macintyre River and Dumaresq River,NSW Border Rivers,EF1,Provide and protect a diversity of refugia across the landscape,Ecosystem Functions,NSW
Confluence of Macintyre River and Dumaresq River,NSW Border Rivers,EF2,"Create quality instream, floodplain and wetland habitat",Ecosystem Functions,NSW
Confluence of Macintyre River and Dumaresq River,NSW Border Rivers,EF3a,"Provide movement and dispersal opportunities within, and between, catchments for water-dependent biota to complete lifecycles and disperse into new habitats (within catchments)",Ecosystem Functions,NSW
Confluence of Macintyre River and Dumaresq River,NSW Border Rivers,EF3b,"Provide movement and dispersal opportunities within, and between, catchments for water-dependent biota to complete lifecycles and disperse into new habitats (between catchments)",Ecosystem Functions,NSW
Confluence of Macintyre River and Dumaresq River,NSW Border Rivers,EF4,Support instream and floodplain productivity,Ecosystem Functions,NSW
Confluence of Macintyre River and Dumaresq River,NSW Border Rivers,EF5,"Support nutrient, carbon and sediment transport along channels, and exchange between channels and floodplains/wetlands",Ecosystem Functions,NSW
Confluence of Macintyre River and Dumaresq River,NSW Border Rivers,EF6,Support groundwater conditions to sustain groundwater-dependent biota,Ecosystem Functions,NSW
Confluence of Macintyre River and Dumaresq River,NSW Border Rivers,EF7,Increase the contribution of flows into the Murray and Barwon-Darling from tributaries,Ecosystem Functions,NSW
Macintyre River floodplain upstream of Boomi River,NSW Border Rivers,NF1,No loss of native fish species,Native Fish,NSW
Macintyre River floodplain upstream of Boomi River,NSW Border Rivers,NF2,Increase the distribution and abundance of short to moderate-lived generalist native fish species,Native Fish,NSW
Macintyre River floodplain upstream of Boomi River,NSW Border Rivers,NF3,Increase the distribution and abundance of short to moderate-lived floodplain specialist native fish species,Native Fish,NSW
Macintyre River floodplain upstream of Boomi River,NSW Border Rivers,NF4,Improve native fish population structure for moderate to long-lived flow pulse specialist native fish species,Native Fish,NSW
Macintyre River floodplain upstream of Boomi River,NSW Border Rivers,NF5,Improve native fish population structure for moderate to long-lived riverine specialist native fish species,Native Fish,NSW
Macintyre River floodplain upstream of Boomi River,NSW Border Rivers,NF6,A 25 percent increase in abundance of mature (harvestable-sized) golden perch and Murray cod,Native Fish,NSW
Macintyre River floodplain upstream of Boomi River,NSW Border Rivers,NF7,Increase the prevalence and/or expand the population of key short to moderate-lived floodplain specialist native fish species into new areas (within historical range),Native Fish,NSW
Macintyre River floodplain upstream of Boomi River,NSW Border Rivers,NF8,Increase the prevalence and/or expand the population of key moderate to long-lived riverine specialist native fish species into new areas (within historical range),Native Fish,NSW
Macintyre River floodplain upstream of Boomi River,NSW Border Rivers,NF9,Increase the prevalence and/or expand the population of key moderate to long-lived flow pulse specialists native fish species into new areas (within historical range),Native Fish,NSW
Macintyre River floodplain upstream of Boomi River,NSW Border Rivers,NV1,Maintain the extent and viability of non-woody vegetation communities occurring within channels,Native Vegetation,NSW
Macintyre River floodplain upstream of Boomi River,NSW Border Rivers,NV2,Maintain or increase the extent and maintain the viability of non-woody vegetation communities occurring in wetlands and on floodplains,Native Vegetation,NSW
Macintyre River floodplain upstream of Boomi River,NSW Border Rivers,NV3,Maintain the extent and improve the condition of river red gum communities closely fringing river channels,Native Vegetation,NSW
Macintyre River floodplain upstream of Boomi River,NSW Border Rivers,NV4a,Maintain or increase the extent and maintain or improve the condition of native woodland and shrubland communities on floodplains (River red gum forest),Native Vegetation,NSW
Macintyre River floodplain upstream of Boomi River,NSW Border Rivers,NV4b,Maintain or increase the extent and maintain or improve the condition of native woodland and shrubland communities on floodplains (River red gum woodland),Native Vegetation,NSW
Macintyre River floodplain upstream of Boomi River,NSW Border Rivers,NV4c,Maintain or increase the extent and maintain or improve the condition of native woodland and shrubland communities on floodplains (Black box woodland),Native Vegetation,NSW
Macintyre River floodplain upstream of Boomi River,NSW Border Rivers,NV4d,Maintain or increase the extent and maintain or improve the condition of native woodland and shrubland communities on floodplains (Coolibah woodland),Native Vegetation,NSW
Macintyre River floodplain upstream of Boomi River,NSW Border Rivers,NV4e,Maintain or increase the extent and maintain or improve the condition of native woodland and shrubland communities on floodplains (Lignum shrublands),Native Vegetation,NSW
Macintyre River floodplain upstream of Boomi River,NSW Border Rivers,WB1,Maintain the number and type of waterbird species,Waterbirds,NSW
Macintyre River floodplain upstream of Boomi River,NSW Border Rivers,WB2,Increase total waterbird abundance across all functional groups,Waterbirds,NSW
Macintyre River floodplain upstream of Boomi River,NSW Border Rivers,WB3,Increase opportunities for non-colonial waterbird breeding,Waterbirds,NSW
Macintyre River floodplain upstream of Boomi River,NSW Border Rivers,WB5,Maintain the extent and improve condition of waterbird habitats,Waterbirds,NSW
Macintyre River floodplain upstream of Boomi River,NSW Border Rivers,EF1,Provide and protect a diversity of refugia across the landscape,Ecosystem Functions,NSW
Macintyre River floodplain upstream of Boomi River,NSW Border Rivers,EF2,"Create quality instream, floodplain and wetland habitat",Ecosystem Functions,NSW
Macintyre River floodplain upstream of Boomi River,NSW Border Rivers,EF3a,"Provide movement and dispersal opportunities within, and between, catchments for water-dependent biota to complete lifecycles and disperse into new habitats (within catchments)",Ecosystem Functions,NSW
Macintyre River floodplain upstream of Boomi River,NSW Border Rivers,EF3b,"Provide movement and dispersal opportunities within, and between, catchments for water-dependent biota to complete lifecycles and disperse into new habitats (between catchments)",Ecosystem Functions,NSW
Macintyre River floodplain upstream of Boomi River,NSW Border Rivers,EF4,Support instream and floodplain productivity,Ecosystem Functions,NSW
Macintyre River floodplain upstream of Boomi River,NSW Border Rivers,EF5,"Support nutrient, carbon and sediment transport along channels, and exchange between channels and floodplains/wetlands",Ecosystem Functions,NSW
Macintyre River floodplain upstream of Boomi River,NSW Border Rivers,EF6,Support groundwater conditions to sustain groundwater-dependent biota,Ecosystem Functions,NSW
Macintyre River floodplain upstream of Boomi River,NSW Border Rivers,EF7,Increase the contribution of flows into the Murray and Barwon-Darling from tributaries,Ecosystem Functions,NSW
Whalan Creek and Croppa Creek subcatchment,NSW Border Rivers,NF1,No loss of native fish species,Native Fish,NSW
Whalan Creek and Croppa Creek subcatchment,NSW Border Rivers,NF2,Increase the distribution and abundance of short to moderate-lived generalist native fish species,Native Fish,NSW
Whalan Creek and Croppa Creek subcatchment,NSW Border Rivers,NF3,Increase the distribution and abundance of short to moderate-lived floodplain specialist native fish species,Native Fish,NSW
Whalan Creek and Croppa Creek subcatchment,NSW Border Rivers,NF4,Improve native fish population structure for moderate to long-lived flow pulse specialist native fish species,Native Fish,NSW
Whalan Creek and Croppa Creek subcatchment,NSW Border Rivers,NF5,Improve native fish population structure for moderate to long-lived riverine specialist native fish species,Native Fish,NSW
Whalan Creek and Croppa Creek subcatchment,NSW Border Rivers,NF6,A 25 percent increase in abundance of mature (harvestable-sized) golden perch and Murray cod,Native Fish,NSW
Whalan Creek and Croppa Creek subcatchment,NSW Border Rivers,NF7,Increase the prevalence and/or expand the population of key short to moderate-lived floodplain specialist native fish species into new areas (within historical range),Native Fish,NSW
Whalan Creek and Croppa Creek subcatchment,NSW Border Rivers,NF8,Increase the prevalence and/or expand the population of key moderate to long-lived riverine specialist native fish species into new areas (within historical range),Native Fish,NSW
Whalan Creek and Croppa Creek subcatchment,NSW Border Rivers,NF9,Increase the prevalence and/or expand the population of key moderate to long-lived flow pulse specialists native fish species into new areas (within historical range),Native Fish,NSW
Whalan Creek and Croppa Creek subcatchment,NSW Border Rivers,NV1,Maintain the extent and viability of non-woody vegetation communities occurring within channels,Native Vegetation,NSW
Whalan Creek and Croppa Creek subcatchment,NSW Border Rivers,NV2,Maintain or increase the extent and maintain the viability of non-woody vegetation communities occurring in wetlands and on floodplains,Native Vegetation,NSW
Whalan Creek and Croppa Creek subcatchment,NSW Border Rivers,NV3,Maintain the extent and improve the condition of river red gum communities closely fringing river channels,Native Vegetation,NSW
Whalan Creek and Croppa Creek subcatchment,NSW Border Rivers,NV4a,Maintain or increase the extent and maintain or improve the condition of native woodland and shrubland communities on floodplains (River red gum forest),Native Vegetation,NSW
Whalan Creek and Croppa Creek subcatchment,NSW Border Rivers,NV4b,Maintain or increase the extent and maintain or improve the condition of native woodland and shrubland communities on floodplains (River red gum woodland),Native Vegetation,NSW
Whalan Creek and Croppa Creek subcatchment,NSW Border Rivers,NV4c,Maintain or increase the extent and maintain or improve the condition of native woodland and shrubland communities on floodplains (Black box woodland),Native Vegetation,NSW
Whalan Creek and Croppa Creek subcatchment,NSW Border Rivers,NV4d,Maintain or increase the extent and maintain or improve the condition of native woodland and shrubland communities on floodplains (Coolibah woodland),Native Vegetation,NSW
Whalan Creek and Croppa Creek subcatchment,NSW Border Rivers,NV4e,Maintain or increase the extent and maintain or improve the condition of native woodland and shrubland communities on floodplains (Lignum shrublands),Native Vegetation,NSW
Whalan Creek and Croppa Creek subcatchment,NSW Border Rivers,WB1,Maintain the number and type of waterbird species,Waterbirds,NSW
Whalan Creek and Croppa Creek subcatchment,NSW Border Rivers,WB2,Increase total waterbird abundance across all functional groups,Waterbirds,NSW
Whalan Creek and Croppa Creek subcatchment,NSW Border Rivers,WB3,Increase opportunities for non-colonial waterbird breeding,Waterbirds,NSW
Whalan Creek and Croppa Creek subcatchment,NSW Border Rivers,WB5,Maintain the extent and improve condition of waterbird habitats,Waterbirds,NSW
Whalan Creek and Croppa Creek subcatchment,NSW Border Rivers,EF1,Provide and protect a diversity of refugia across the landscape,Ecosystem Functions,NSW
Whalan Creek and Croppa Creek subcatchment,NSW Border Rivers,EF2,"Create quality instream, floodplain and wetland habitat",Ecosystem Functions,NSW
Whalan Creek and Croppa Creek subcatchment,NSW Border Rivers,EF3a,"Provide movement and dispersal opportunities within, and between, catchments for water-dependent biota to complete lifecycles and disperse into new habitats (within catchments)",Ecosystem Functions,NSW
Whalan Creek and Croppa Creek subcatchment,NSW Border Rivers,EF3b,"Provide movement and dispersal opportunities within, and between, catchments for water-dependent biota to complete lifecycles and disperse into new habitats (between catchments)",Ecosystem Functions,NSW
Whalan Creek and Croppa Creek subcatchment,NSW Border Rivers,EF4,Support instream and floodplain productivity,Ecosystem Functions,NSW
Whalan Creek and Croppa Creek subcatchment,NSW Border Rivers,EF5,"Support nutrient, carbon and sediment transport along channels, and exchange between channels and floodplains/wetlands",Ecosystem Functions,NSW
Whalan Creek and Croppa Creek subcatchment,NSW Border Rivers,EF6,Support groundwater conditions to sustain groundwater-dependent biota,Ecosystem Functions,NSW
Whalan Creek and Croppa Creek subcatchment,NSW Border Rivers,EF7,Increase the contribution of flows into the Murray and Barwon-Darling from tributaries,Ecosystem Functions,NSW
Macintyre River and Boomi River floodplain,NSW Border Rivers,NF1,No loss of native fish species,Native Fish,NSW
Macintyre River and Boomi River floodplain,NSW Border Rivers,NF2,Increase the distribution and abundance of short to moderate-lived generalist native fish species,Native Fish,NSW
Macintyre River and Boomi River floodplain,NSW Border Rivers,NF3,Increase the distribution and abundance of short to moderate-lived floodplain specialist native fish species,Native Fish,NSW
Macintyre River and Boomi River floodplain,NSW Border Rivers,NF4,Improve native fish population structure for moderate to long-lived flow pulse specialist native fish species,Native Fish,NSW
Macintyre River and Boomi River floodplain,NSW Border Rivers,NF5,Improve native fish population structure for moderate to long-lived riverine specialist native fish species,Native Fish,NSW
Macintyre River and Boomi River floodplain,NSW Border Rivers,NF6,A 25 percent increase in abundance of mature (harvestable-sized) golden perch and Murray cod,Native Fish,NSW
Macintyre River and Boomi River floodplain,NSW Border Rivers,NF7,Increase the prevalence and/or expand the population of key short to moderate-lived floodplain specialist native fish species into new areas (within historical range),Native Fish,NSW
Macintyre River and Boomi River floodplain,NSW Border Rivers,NF8,Increase the prevalence and/or expand the population of key moderate to long-lived riverine specialist native fish species into new areas (within historical range),Native Fish,NSW
Macintyre River and Boomi River floodplain,NSW Border Rivers,NF9,Increase the prevalence and/or expand the population of key moderate to long-lived flow pulse specialists native fish species into new areas (within historical range),Native Fish,NSW
Macintyre River and Boomi River floodplain,NSW Border Rivers,NV1,Maintain the extent and viability of non-woody vegetation communities occurring within channels,Native Vegetation,NSW
Macintyre River and Boomi River floodplain,NSW Border Rivers,NV2,Maintain or increase the extent and maintain the viability of non-woody vegetation communities occurring in wetlands and on floodplains,Native Vegetation,NSW
Macintyre River and Boomi River floodplain,NSW Border Rivers,NV3,Maintain the extent and improve the condition of river red gum communities closely fringing river channels,Native Vegetation,NSW
Macintyre River and Boomi River floodplain,NSW Border Rivers,NV4a,Maintain or increase the extent and maintain or improve the condition of native woodland and shrubland communities on floodplains (River red gum forest),Native Vegetation,NSW
Macintyre River and Boomi River floodplain,NSW Border Rivers,NV4b,Maintain or increase the extent and maintain or improve the condition of native woodland and shrubland communities on floodplains (River red gum woodland),Native Vegetation,NSW
Macintyre River and Boomi River floodplain,NSW Border Rivers,NV4c,Maintain or increase the extent and maintain or improve the condition of native woodland and shrubland communities on floodplains (Black box woodland),Native Vegetation,NSW
Macintyre River and Boomi River floodplain,NSW Border Rivers,NV4d,Maintain or increase the extent and maintain or improve the condition of native woodland and shrubland communities on floodplains (Coolibah woodland),Native Vegetation,NSW
Macintyre River and Boomi River floodplain,NSW Border Rivers,NV4e,Maintain or increase the extent and maintain or improve the condition of native woodland and shrubland communities on floodplains (Lignum shrublands),Native Vegetation,NSW
Macintyre River and Boomi River floodplain,NSW Border Rivers,WB1,Maintain the number and type of waterbird species,Waterbirds,NSW
Macintyre River and Boomi River floodplain,NSW Border Rivers,WB2,Increase total waterbird abundance across all functional groups,Waterbirds,NSW
Macintyre River and Boomi River floodplain,NSW Border Rivers,WB3,Increase opportunities for non-colonial waterbird breeding,Waterbirds,NSW
Macintyre River and Boomi River floodplain,NSW Border Rivers,WB5,Maintain the extent and improve condition of waterbird habitats,Waterbirds,NSW
Macintyre River and Boomi River floodplain,NSW Border Rivers,EF1,Provide and protect a diversity of refugia across the landscape,Ecosystem Functions,NSW
Macintyre River and Boomi River floodplain,NSW Border Rivers,EF2,"Create quality instream, floodplain and wetland habitat",Ecosystem Functions,NSW
Macintyre River and Boomi River floodplain,NSW Border Rivers,EF3a,"Provide movement and dispersal opportunities within, and between, catchments for water-dependent biota to complete lifecycles and disperse into new habitats (within catchments)",Ecosystem Functions,NSW
Macintyre River and Boomi River floodplain,NSW Border Rivers,EF3b,"Provide movement and dispersal opportunities within, and between, catchments for water-dependent biota to complete lifecycles and disperse into new habitats (between catchments)",Ecosystem Functions,NSW
Macintyre River and Boomi River floodplain,NSW Border Rivers,EF4,Support instream and floodplain productivity,Ecosystem Functions,NSW
Macintyre River and Boomi River floodplain,NSW Border Rivers,EF5,"Support nutrient, carbon and sediment transport along channels, and exchange between channels and floodplains/wetlands",Ecosystem Functions,NSW
Macintyre River and Boomi River floodplain,NSW Border Rivers,EF6,Support groundwater conditions to sustain groundwater-dependent biota,Ecosystem Functions,NSW
Macintyre River and Boomi River floodplain,NSW Border Rivers,EF7,Increase the contribution of flows into the Murray and Barwon-Darling from tributaries,Ecosystem Functions,NSW
